Time	 城市	 农村	 总人口
1	 1.000000	 9.000000	 10.000000
2	 1.149480	 8.948520	 10.098000
3	 1.293089	 8.903592	 10.196681
4	 1.431149	 8.864913	 10.296062
5	 1.563965	 8.832195	 10.396160
6	 1.691828	 8.805165	 10.496994
7	 1.815013	 8.783567	 10.598580
8	 1.933780	 8.767156	 10.700936
9	 2.048376	 8.755701	 10.804078
10	 2.159038	 8.748983	 10.908022
11	 2.265987	 8.746796	 11.012784
12	 2.369436	 8.748944	 11.118380
13	 2.469584	 8.755240	 11.224824
14	 2.566623	 8.765510	 11.332134
15	 2.660733	 8.779588	 11.440322
16	 2.752086	 8.797317	 11.549403
17	 2.840845	 8.818549	 11.659393
18	 2.927163	 8.843142	 11.770305
19	 3.011189	 8.870966	 11.882154
20	 3.093061	 8.901893	 11.994953
