Time	 城市	 农村	 总人口
1	 1.000000	 9.000000	 10.000000
2	 1.148000	 8.950000	 10.098000
3	 1.290264	 8.906420	 10.196684
4	 1.427104	 8.868966	 10.296070
5	 1.558816	 8.837361	 10.396177
6	 1.685681	 8.811340	 10.497021
7	 1.807966	 8.790654	 10.598620
8	 1.925924	 8.775066	 10.700990
9	 2.039796	 8.764352	 10.804148
10	 2.149810	 8.758300	 10.908110
11	 2.256182	 8.756710	 11.012891
12	 2.359118	 8.759390	 11.118508
13	 2.458814	 8.766161	 11.224975
14	 2.555455	 8.776852	 11.332307
15	 2.649218	 8.791301	 11.440519
16	 2.740269	 8.809357	 11.549626
17	 2.828767	 8.830874	 11.659642
18	 2.914864	 8.855716	 11.770581
19	 2.998703	 8.883754	 11.882457
20	 3.080419	 8.914864	 11.995284
